原始名,标准名,拟匹配频道名,分组,来源,输出顺序,是否已维护
CCTV1,CCTV-1 综合,CCTV-1 综合,待标准化,济南电信单播,未排序,否
CCTV-10 科教,CCTV-10 科教,CCTV-10 科教,待标准化,济南电信单播,未排序,否
CCTV-11 戏曲,CCTV-11 戏曲,CCTV-11 戏曲,待标准化,济南电信单播,未排序,否
CCTV-12 社会与法,CCTV-12 社会与法,CCTV-12 社会与法,待标准化,济南电信单播,未排序,否
CCTV-13 新闻,CCTV-13 新闻,CCTV-13 新闻,待标准化,济南电信单播,未排序,否
CCTV-14 少儿,CCTV-14 少儿,CCTV-14 少儿,待标准化,济南电信单播,未排序,否
CCTV-15 音乐,CCTV-15 音乐,CCTV-15 音乐,待标准化,济南电信单播,未排序,否
CCTV-17 农业农村,CCTV-17 农业农村,CCTV-17 农业农村,待标准化,济南电信单播,未排序,否
CCTV-2 财经,CCTV-2 财经,CCTV-2 财经,待标准化,济南电信单播,未排序,否
CCTV-3 综艺,CCTV-3 综艺,CCTV-3 综艺,待标准化,济南电信单播,未排序,否
CCTV-4 (美洲),CCTV-14,CCTV-14,待确认分组,济南电信单播,未排序,否
CCTV-4 (欧洲),CCTV-14,CCTV-14,待确认分组,济南电信单播,未排序,否
CCTV-4 (亚洲),CCTV-14,CCTV-14,待确认分组,济南电信单播,未排序,否
CCTV-5 体育,CCTV-5 体育,CCTV-5 体育,待标准化,济南电信单播,未排序,否
CCTV-5+ 体育赛事,CCTV-5+ 体育赛事,CCTV-5+ 体育赛事,待标准化,济南电信单播,未排序,否
CCTV-6 电影,CCTV-6 电影,CCTV-6 电影,待标准化,济南电信单播,未排序,否
CCTV-7 国防军事,CCTV-7 国防军事,CCTV-7 国防军事,待标准化,济南电信单播,未排序,否
CCTV-8 电视剧,CCTV-8 电视剧,CCTV-8 电视剧,待标准化,济南电信单播,未排序,否
CCTV-9 纪录,CCTV-9 纪录,CCTV-9 纪录,待标准化,济南电信单播,未排序,否
CETV-1,CETV-1,CETV-1,待确认分组,济南电信单播,未排序,否
CETV-2,CETV-2,CETV-2,待确认分组,济南电信单播,未排序,否
CETV-4,CETV-4,CETV-4,待确认分组,济南电信单播,未排序,否
CETV-生态环境,CETV-生态环境,CETV-生态环境,待标准化,济南电信单播,未排序,否
CGTN,Cgtn,Cgtn,待确认分组,济南电信单播,未排序,否
CGTN阿语,CGTN阿语,CGTN阿语,待标准化,济南电信单播,未排序,否
CGTN俄语,CGTN俄语,CGTN俄语,待标准化,济南电信单播,未排序,否
CGTN法语,CGTN法语,CGTN法语,待标准化,济南电信单播,未排序,否
CGTN纪录,CGTN纪录,CGTN纪录,待标准化,济南电信单播,未排序,否
CGTN西语,CGTN西语,CGTN西语,待标准化,济南电信单播,未排序,否
CHANNEL00000060,CHANNEL00000060,CHANNEL00000060,待标准化,济南电信单播,未排序,否
CHANNEL00000504,CHANNEL00000504,CHANNEL00000504,待标准化,济南电信单播,未排序,否
CHANNEL00004004,CHANNEL00004004,CHANNEL00004004,待标准化,济南电信单播,未排序,否
CHANNEL00004008,CHANNEL00004008,CHANNEL00004008,待标准化,济南电信单播,未排序,否
CHC动作电影,CHC动作电影,CHC动作电影,待标准化,济南电信单播,未排序,否
CHC家庭影院,CHC家庭影院,CHC家庭影院,待标准化,济南电信单播,未排序,否
CHC影迷电影,CHC影迷电影,CHC影迷电影,待标准化,济南电信单播,未排序,否
NHK世界台,NHK世界台,NHK世界台,待标准化,济南电信单播,未排序,否
阿里郎,阿里郎,阿里郎,待标准化,济南电信单播,未排序,否
安丘综合,安丘综合,安丘综合,待标准化,济南电信单播,未排序,否
澳视卫星,澳视卫星,澳视卫星,待标准化,济南电信单播,未排序,否
北京卫视-4K,北京卫视-4K,北京卫视-4K,待标准化,济南电信单播,未排序,否
滨州民生,滨州民生,滨州民生,待标准化,济南电信单播,未排序,否
滨州新闻,滨州新闻,滨州新闻,待标准化,济南电信单播,未排序,否
财富天下,财富天下,财富天下,待标准化,济南电信单播,未排序,否
茶,茶,茶,待标准化,济南电信单播,未排序,否
