原始名称,标准名称,拟匹配频道
TV Sur Canal 14 (1080p),,L1
TV Sur Canal 9 (620p) [Not 24/7],,TVS
TV SLO 2 HD (1080p) [Not 24/7],,T
TV SLO 1 HD (1080p) [Not 24/7],,T
Koogi TV (1080p),,Koogi TV
Kolkata TV (1080p),,Kolkata TV
KOKI-DT1 (1080p),,KOKI-DT1
Komala TV (1080p),,Komala TV
TV Toruń (1080p) [Not 24/7],,T
KQED-DT2,,KQED-DT2
Kordia TV (1080p),,Kordia TV
Komsan TV [Not 24/7],,Komsan TV
Kozoom TV,,Kozoom TV
TV Trwam (1080p) [Geo-blocked],,TV Trwam
TV UCT (1080p),,TV UCT
TV Veseljak Golica HD,,TV Veseljak Golica HD
KRIS-DT1 (1080p),,KRIS-DT1
Korea TV (1080p),,ATV
KSAN-DT3,,KSAN-DT3
KTIV-DT6,,KTIV-DT6
KTOO 360TV 3 (FNX),,360
TVBS Asia (1080p),,TVBS-Asia
TV-Nord (1080p),,TV-Nord
KTV 1 (1080p),,T
KTV 2 (1080p),,T
KultKrimi,,TKR
KultKrimi: Der Alte,,TKR
KTV Sport (1080p),,KTV Sport
KultKrimi: Der Kommissar,,TKR
KTV Arabe (1080p),,KTV Arabe
KTV Ethraa (1080p),,KTV Ethraa
KTV Al Qurain (1080p),,KTV Al Qurain
TVC-Rio,,TVC-Rio
Kulinar TV,,Kulinar TV
Kultkrimi: Derrick,,RiC
KTV Sport Plus (1080p),,KTV Sport Plus
TVE Star HD,,TVes
KTV News (1080p),,KTV News
Kung Fu+,,NG
TVE RS (1080p),,TVE RS
TVM El Salvador,,TVM El Salvador
KVIE-DT2,,KVIE-DT2
TVM para ti (1080p),,TVM
L1 Max (1080p),,L1 Max
TVM3 (1080p),,M3
L'Effet Papillon,,API
La 1 HEVC (1080p),,A1
La Descarga TV [Geo-blocked],,La Descarga TV
La 1 UHD (2160p),,A1
La 2 (1080p),,A2
La Hermandad Salsera (1080p) [Not 24/7],,La Hermandad Salsera
La Hora TV [Geo-blocked],,ATV
La Mega Mundial,,La Mega Mundial
La Que Buena Atlanta,,La Que Buena Atlanta
La Reina TV [Geo-blocked],,ATV
La Popular TV,,La Popular TV
La Sexta (1080p),,La Sexta
La Ruta TV,,ATV
La Une (1080p),,La Une
Lalegul TV (1080p),,Lalegul TV
Lara en Redes TV (1080p),,ESTV
Lassie,,Ie
Latina TV (1080p),,Latina TV
Latest TV [Not 24/7],,Latest TV
Latino Vibes [Geo-blocked],,Vibe
TVS Classic Movies (288p),,TVS Classic Movies
Latino Classic TV,,CTV
Le Figaro IDF (1080p),,ID
Latvijas Radio 3 Klasika (240p),,ATV
Le Meilleur d'Arthur,,ART
Le miracle de l'amour,,Le miracle de l'amour
Leave it to Bryan,,Leva
Legislative Assembly of Ontario,,Legislative Assembly of Ontario
Legislative Assembly of Ontario (without interpretation),,Legislative Assembly of Ontario
Leave It to Beaver,,Avers
Legislative Assembly of Ontario Committees (room 1),,Legislative Assembly of Ontario
Le Meilleur de la TV Realite (1080p),,ATV
Legislative Assembly TV Nunavut,,Legislative Assembly TV Nunavut
Legislative Assembly of Ontario Committees (room 2),,Legislative Assembly of Ontario
TVSConsumerDirect,,TVS Consumer Direct
Leaderboard Sports News (1080p),,ORT
Legislative Assembly of Ontario Committees (room 151),,Legislative Assembly of Ontario
LEGO Kids TV,,LEGO Kids TV
Lena TV [Not 24/7],,Lena TV
Legislative Assembly of British Columbia,,Legislative Assembly of British Columbia
Leipzig Fernsehen (1080p),,ENA
Legislative Assembly of British Columbia Committee A,,Legislative Assembly of British Columbia Committee A
Leomax 24 (1080p),,Leomax 24
Tweede Kamer: Aletta Jacobszaal (1080p) [Not 24/7],,Tweede Kamer: Aletta Jacobszaal
Les Anges,,NG
