标准频道名,匹配状态,频道名,地址,来源,检测时间,图标,分组
CCTV1,未匹配-跳过,CCTV1,http://150.138.8.143/00/SNM/CHANNEL00000311/index.m3u8,电信单播,0,,央视频道
CCTV1,未匹配-跳过,CCTV1,http://150.138.8.143/00/SNM/CHANNEL00004003/index.m3u8,电信单播,0,,央视频道
CCTV1,未匹配-跳过,CCTV1,http://150.138.8.143/00/SNM/CHANNEL00000001/index.m3u8,电信单播,0,,央视频道
CCTV1,未匹配-跳过,CCTV1,http://192.168.31.2:4022/rtp/239.21.1.120:5002,电信组播,0,,央视频道
CCTV1,未匹配-跳过,CCTV1,http://192.168.31.2:4022/rtp/239.21.1.1:5002,电信组播,0,,央视频道
CCTV1,未匹配-跳过,CCTV1,rtsp://112.245.125.38:1554/iptv/import/Tvod/iptv/001/001/ch12122514263996485740.rsc/69958_Uni.sdp,济南联通,0,,央视频道
CCTV1,未匹配-跳过,CCTV1,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000311/index.m3u8?IASHttpSessionId=,济南移动,0,,央视频道
CCTV1,未匹配-跳过,CCTV1,http://123.235.73.237:9901/tsfile/live/0002_2.m3u8?key=txiptv,青岛联通,0,,央视频道
CCTV1,未匹配-跳过,CCTV1,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226163/1.m3u8,上海移动,0,,央视频道
CCTV10,未匹配-跳过,CCTV10,http://150.138.8.143/00/SNM/CHANNEL00000321/index.m3u8,电信单播,0,,央视频道
CCTV10,未匹配-跳过,CCTV10,http://192.168.31.2:4022/rtp/239.21.1.155:5002,电信组播,0,,央视频道
CCTV10,未匹配-跳过,CCTV10,rtsp://112.245.125.48:1554/iptv/import/Tvod/iptv/001/001/ch15111015554384702984.rsc/69941_Uni.sdp,济南联通,0,,央视频道
CCTV10,未匹配-跳过,CCTV10,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000321/index.m3u8?IASHttpSessionId=,济南移动,0,,央视频道
