频道名,地址,来源,图标,检测时间,分组,视频编码,分辨率,帧率,音频
Azahares Radio Multimedia (720p),https://streamyes.alsolnet.com/azaharesfm/live/playlist.m3u8,网络源,https://i.imgur.com/g1BFoSs.png,0.557,未分组,h264,1280x720,30.0,有音频
[BD]meltem tv,https://stream1.freetv.fun/meltem-tv-1.m3u8,网络源,https://epg.pw/media/images/channel/2021/06/24/large/20210624003447280269_10.png,3.646,未分组,h264,1920x1080,25.0,有音频
CGTN Français (1080p) [Not 24/7],https://francais-livews.cgtn.com/hls/LSvev95OuFZtKLc6CeKEFYXj220802LSTeV6PO0Ut9r71Uq3k5goCA220802cd/playlist.m3u8,网络源,https://i.imgur.com/BwhledK.png,1.903,未分组,h264,1920x1080,25.0,有音频
æ·±åœ³å«è§†,http://59.39.89.130:60901/tsfile/live/0125_11.m3u8?key=txiptv&playlive=1&authid=0,网络源,,6.475,未分组,h264,1920x1080,25.0,有音频
é–å¤©æ˜ ç”»,https://mao.ffmking888.dpdns.org/?id=6Z2W5aSp5pig55Wr&auth=30234cedf871581989d3c91a3daec1e9f50e024aafcfa2247e7d44d91bb8d02fbc3f571b2d67f9d82642cc1d0f133d89,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/é–å¤©æ˜ ç”».png,0.886,未分组,,,,无音频
[HD]wdr fernsehen duisburg,https://stream1.freetv.fun/wdr-fernsehen-duisburg-1.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2014/06/13/20140613201750103685_33.png,12.532,未分组,h264,,,有音频
Gusto TV (1080p),https://e75fc053c0d2406fb74cdd71d77e1a7f.mediatailor.us-east-1.amazonaws.com/v1/master/f4e8c53a8367a5b58e20ce054ea3ce25a3e904d3/RakutenTV-eu_GustoTV/playlist.m3u8,网络源,https://i.imgur.com/swUX3hQ.png,1.137,未分组,h264,1920x1080,29.97002997002997,有音频
æ·±åœ³å«è§†,https://stream1.freetv.fun/shen-zhen-wei-shi-64.ctv,网络源,,9.049,未分组,mpeg2video,1920x1080,25.0,有音频
[HD]wdr fernsehen bonn,https://stream1.freetv.fun/wdr-fernsehen-bonn-1.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2014/06/13/20140613201750103685_33.png,10.914,未分组,h264,,,有音频
ã€Šæ‹ˆèŠ±ä¸€ç¬‘ã€‹ã€Šå¯¹é¢çš„å°å§å§ã€‹ã€Šæƒ³ä½ äº†å°å“¥å“¥ã€‹ã€Šä¸€æœµæƒ…èŠ±å¼€ã€‹,https://vdse.bdstatic.com//7cfaf27a4db89583e069a40fbc2ed84b.mp4,网络源,,5.921,未分组,h264,1920x1080,23.940839717172558,有音频
Moldova 1 (1080p),https://v0.trm.md/static/streaming-playlists/hls/9b79338b-1870-4cd7-91d4-0f6ce5cac7ca/master.m3u8,网络源,https://i.postimg.cc/MHSV9MGD/moldova1.png,3.013,未分组,h264,1920x1080,25.0,有音频
åå °æ–°é—»,https://stream1.freetv.fun/shi-yan-xin-wen-3.m3u8,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/åå °æ–°é—».png,1.077,未分组,h264,1280x720,25.0,有音频
Sandzak TV (576p),https://streaming.iptv.nextfiber.rs/nxt004/master.m3u8,网络源,https://i.imgur.com/lm9Fgsp.png,3.619,未分组,h264,720x576,25.0,有音频
é–å¤©æ˜ ç”»,https://4gtv.dxjc.pp.ua/li-4gtv-4gtv055/index.m3u8,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/é–å¤©æ˜ ç”».png,0.947,未分组,,,,无音频
æ·±åœ³å«è§†,http://111.14.181.15:9901/tsfile/live/0126_1.m3u8,网络源,,14.447,未分组,hevc,3840x2160,50.0,有音频
Ch4Teen,https://ch14.tv/live/ch4teenclip/playlist.m3u8,网络源,https://i.imgur.com/pHpFGeg.png,0.702,未分组,h264,1920x1080,30.0,有音频
Azteca 7 (720p) [Geo-blocked],https://mdstrm.com/live-stream-playlist/609ad46a7a441137107d7a81.m3u8,网络源,https://i.imgur.com/UtFXjIn.png,0.185,未分组,,,,无音频
[BD]telemundo romance,https://stream1.freetv.fun/telemundo-romance-1.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/06/large/20220506174246283512_52.png,1.349,未分组,h264,426x240,30.0,有音频
石家庄生活,http://pluslive1.sjzntv.cn/shenghuo/playlist.m3u8,网络源,,1.418,未分组,,,,无音频
é–å¤©æˆå‰§,https://cdn.iptv8k.top/dl/jrys.php?id=318&time=20240926215313&ip=111.229.253.40,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/é–å¤©æˆå‰§.png,0.613,未分组,h264,1920x1080,60.0,无音频
é–å¤©æˆå‰§,http://pullpackage.alivecdn.com/live/pU4fD0cP0dx6iXknYRcEzuZOQ6P6z5FsZ9KvAOPGsBry6iYBSe.flv,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/é–å¤©æˆå‰§.png,0.235,未分组,,,,无音频
石家庄都市,http://pluslive1.sjzntv.cn/dushi/playlist.m3u8,网络源,,0.868,未分组,,,,无音频
è¾½å®å«è§†,https://stream1.freetv.fun/liao-zhu-wei-shi-44.m3u8,网络源,,1.595,未分组,h264,1280x720,25.0,有音频
æ·±åœ³å«è§†,http://116.128.242.83:9901/tsfile/live/1006_1.m3u8,网络源,,7.478,未分组,h264,1920x1080,25.0,有音频
PMI TV (720p) [Not 24/7],https://cdn.live247stream.com/pmi/tv/playlist.m3u8,网络源,https://i.imgur.com/SfyCwXj.png,0.885,未分组,h264,854x480,25.0,有音频
CCTV9,https://stream1.freetv.fun/6bcbb01fda06ee279885e8edf12825738261ae846dc9d2d3f6b06173609e8ae9.m3u8,网络源,,1.845,未分组,h264,1280x720,25.0,有音频
石家庄娱乐,http://pluslive1.sjzntv.cn/yule/playlist.m3u8,网络源,,0.888,未分组,,,,无音频
æ— é”¡ç”Ÿæ´»,http://stream.thmz.com/wxtv4/sd/live.m3u8?_upt=978cd8731706199708,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/æ— é”¡ç”Ÿæ´».png,5.512,未分组,,,,无音频
[HD]wdr fernsehen bielefeld,https://stream1.freetv.fun/wdr-fernsehen-bielefeld-1.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2014/06/13/20140613201750103685_33.png,10.942,未分组,h264,,,有音频
[BD]sony sports ten 1[geo-blocked],https://stream1.freetv.fun/sony-sports-ten-1-1.ctv,网络源,https://epg.pw/media/images/channel/2021/06/24/large/20210624003447280269_10.png,1.162,未分组,h264,960x540,25.0,有音频
Moldova 2 (1080p),https://v0.trm.md/static/streaming-playlists/hls/d5fafab0-9c37-4746-9e7a-b2d6c0427015/master.m3u8,网络源,https://i.postimg.cc/D0PsHvJK/moldova2.png,3.383,未分组,h264,1920x1080,25.0,有音频
ç”µå½±_å¼ºæ£®,http://live.nctv.top/huya.php?id=21059581,网络源,,3.769,未分组,h264,1920x1080,60.0,有音频
é–å¤©æ˜ ç”»,https://4gtv.dxjc.pp.ua/4gtv-4gtv055/index.m3u8,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/é–å¤©æ˜ ç”».png,0.633,未分组,,,,无音频
ç”µå½±_å–œä¹å½±é™¢,http://live.nctv.top/huya.php?id=21059580,网络源,,1.401,未分组,,,,无音频
æ— é”¡ç»æµ,https://stream.thmz.com/wxtv5/playlist.m3u8,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/æ— é”¡ç»æµ.png,6.429,未分组,,,,无音频
红牛REDBULL TV (720p),https://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_3360.m3u8,网络源,,0.349,未分组,h264,1280x720,30.0,有音频
PMC Royale (1080p),https://pmcrohls.wns.live/hls/stream.m3u8,网络源,https://www.lyngsat.com/logo/tv/pp/pmc-royale-ch.png,1.815,未分组,h264,1920x1080,25.0,有音频
[BD]oneplanet hd,https://stream1.freetv.fun/oneplanet-1.ctv,网络源,https://epg.pw/media/images/channel/2021/06/24/large/20210624003447280269_10.png,6.445,未分组,h264,1920x1080,25.0,有音频
Sangeet Bangla (720p),https://cdn-4.pishow.tv/live/1143/master.m3u8,网络源,https://i.imgur.com/b1B73Tp.png,9.996,未分组,h264,424x240,25.0,有音频
åå °æ–°é—»,https://stream1.freetv.fun/shi-yan-xin-wen-2.m3u8,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/åå °æ–°é—».png,1.319,未分组,h264,1280x720,25.0,有音频
[BD]saarland fernsehen 1,https://stream1.freetv.fun/saarland-fernsehen-1-2.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2014/06/13/20140613201750103685_33.png,2.733,未分组,h264,1920x1080,25.0,有音频
粤语电影2,http://epg.112114.xyz/douyu/6566671,网络源,,1.094,未分组,,,,无音频
è¾½å®å«è§†,https://stream1.freetv.fun/liao-zhu-wei-shi-gao-qing-1.m3u8,网络源,,1.266,未分组,h264,1280x720,25.0,有音频
[HD]revry news[geo-blocked],https://stream1.freetv.fun/revry-news-1.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2015/04/20/20150420071750455994_44.jpg,1.696,未分组,h264,384x216,29.97002997002997,有音频
æ·±åœ³å«è§†,http://ygbh.site/php/bfgd.php?id=100,网络源,,1.053,未分组,,,,无音频
é–å¤©æˆå‰§,https://stream1.freetv.fun/jing-tian-xi-ju-4.ctv,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/é–å¤©æˆå‰§.png,1.286,未分组,h264,1280x720,25.0,有音频
[BD]telemundo accion,https://stream1.freetv.fun/telemundo-accion-1.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/06/large/20220506174246283512_52.png,1.319,未分组,h264,426x240,30.0,有音频
Gusto TV,https://563f72af.wurl.com/master/f36d25e7e52f1ba8d7e56eb859c636563214f541/UmFrdXRlblRWLWV1X0d1c3RvVFZfSExT/playlist.m3u8,网络源,https://i.imgur.com/swUX3hQ.png,0.910,未分组,h264,1920x1080,29.97002997002997,有音频
Ayush TV (360p) [Not 24/7],https://95eryw39dwn4-hls-live.wmncdn.net/Ayushu/271ddf829afeece44d8732757fba1a66.sdp/index.m3u8,网络源,https://i.imgur.com/PWzvp0B.png,2.030,未分组,h264,640x360,25.0,有音频
[HD]wdr fernsehen dortmund,https://stream1.freetv.fun/wdr-fernsehen-dortmund-1.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2014/06/13/20140613201750103685_33.png,11.158,未分组,h264,,,有音频
Monroe County Television MCTV (Monroe County FL) (1080p),https://castus-vod-dev.s3.amazonaws.com/vod_clients/monroe/live/ch1/video.m3u8,网络源,https://i.imgur.com/YJfzdSu.png,0.450,未分组,h264,1920x1080,29.97002997002997,有音频
ã€Šçˆ±éš¾æ±‚æƒ…éš¾æ–­â€¦ã€‹,https://vdse.bdstatic.com//0c8ed110c5522e9bd31752ecb999b1ab.mp4,网络源,,5.506,未分组,h264,1920x1080,24.94096826259632,有音频
åå °æ–°é—»,https://stream1.freetv.fun/shi-yan-xin-wen-4.m3u8,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/åå °æ–°é—».png,1.096,未分组,h264,1280x720,25.0,有音频
[HD]hsn2,https://stream1.freetv.fun/hsn2-1.m3u8,网络源,https://epg.pw/media/images/channel/2020/11/14/large/20201114212249621443_45.png,1.352,未分组,h264,640x360,30.0,有音频
[BD]telemundo florida,https://stream1.freetv.fun/telemundo-florida-2.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/06/large/20220506174246283512_52.png,0.987,未分组,h264,1920x1080,29.97002997002997,有音频
[SD]tvt zgorzelec,https://stream1.freetv.fun/tvt-zgorzelec-1.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2015/04/20/20150420071750455994_44.jpg,2.209,未分组,h264,1024x576,25.0,有音频
Sangeet Marathi (720p),https://cdn-3.pishow.tv/live/1229/master.m3u8,网络源,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Sangeet_Marathi.jpg/512px-Sangeet_Marathi.jpg,9.711,未分组,h264,424x240,25.0,有音频
Az Star TV (1080p),http://live.azstartv.com/azstar/smil:azstar.smil/playlist.m3u8,网络源,https://i.imgur.com/di3XX5L.png,2.201,未分组,h264,858x480,25.0,有音频
Azteca Uno (720p) [Geo-blocked],https://mdstrm.com/live-stream-playlist/609b243156cca108312822a6.m3u8,网络源,https://i.imgur.com/rRxgBtI.png,0.168,未分组,,,,无音频
CCTV9,https://stream1.freetv.fun/596c7e7a97fd5105d27b270383457785e99b9c41185668296141df8483997729.m3u8,网络源,,1.625,未分组,h264,1280x720,25.0,有音频
[HD]wdr fernsehen aachen,https://stream1.freetv.fun/wdr-fernsehen-aachen-1.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2014/06/13/20140613201750103685_33.png,11.352,未分组,h264,,,有音频
[BD]reshet 13 comedy,https://stream1.freetv.fun/reshet-13-comedy-1.m3u8,网络源,https://epg.pw/media/images/channel/2021/06/24/large/20210624003447280269_10.png,4.834,未分组,h264,,,有音频
[HD]hsn,https://stream1.freetv.fun/hsn-1.m3u8,网络源,https://epg.pw/media/images/channel/2020/11/14/large/20201114212249621443_45.png,1.506,未分组,h264,640x360,30.0,有音频
CCTV9,https://stream1.freetv.fun/b1441aafad046fdc14f8c74f647d28ce7841fef2633d1aedccf8c575d1e9668f.m3u8,网络源,,1.606,未分组,h264,1280x720,25.0,有音频
Gulistan News (720p),https://live.gulistannews.in/hls/gul.m3u8,网络源,https://i.imgur.com/q5z6ycZ.png,5.013,未分组,h264,1280x720,25.0,有音频
[HD]wdr fernsehen münster,https://stream1.freetv.fun/wdr-fernsehen-munster-1.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2014/06/13/20140613201750103685_33.png,12.004,未分组,h264,,,有音频
åˆ˜å¾·å,http://cfss.cc/cdn/hy/11342424.m3u8,网络源,,5.203,未分组,h264,1280x534,25.0,有音频
ç”µå½±_å–œå‰§ä¸“åœº,http://live.nctv.top/huya.php?id=11602044,网络源,,2.849,未分组,h264,1024x564,24.0,有音频
[VGA]telemundo al dia[geo-blocked],https://stream1.freetv.fun/telemundo-al-dia-1.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/06/large/20220506174246283512_52.png,1.127,未分组,h264,640x360,29.97002997002997,有音频
TV São Raimundo (268p),https://stmv1.voxtvhd.com.br/9030/9030/playlist.m3u8,网络源,https://i.imgur.com/f34CQIG.png,0.634,未分组,h264,1920x1080,30.0,有音频
