频道名,地址,跳过原因
2026-05-22 18:39:01,https://vd2.bdstatic.com/mda-sctj0f6r4u1bpebc/1080p/cae_h264/1774706523506678171/mda-sctj0f6r4u1bpebc.mp4,重复URL
www.izbds.com,https://vd2.bdstatic.com/mda-sctj0f6r4u1bpebc/1080p/cae_h264/1774706523506678171/mda-sctj0f6r4u1bpebc.mp4,重复URL
余姚综合,http://l.cztvcloud.com/channels/lantian/SXyuyao1/720p.m3u8?zzhed,重复URL
余杭未来E频道,http://l.cztvcloud.com/channels/lantian/SXyuhang3/720p.m3u8?zzhed,重复URL
余杭综合频道,http://l.cztvcloud.com/channels/lantian/SXyuhang1/720p.m3u8?zzhed,重复URL
嵊泗综合,http://l.cztvcloud.com/channels/lantian/SXshengzhou1/720p.m3u8?zzhed,重复URL
支持作者,https://vd2.bdstatic.com/mda-sctj0f6r4u1bpebc/1080p/cae_h264/1774706523506678171/mda-sctj0f6r4u1bpebc.mp4,重复URL
浙江教科影院,http://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8,重复URL
浙江民生休闲,http://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8,重复URL
浙江经济生活,http://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8,重复URL
萧山生活频道,http://l.cztvcloud.com/channels/lantian/SXxiaoshan2/720p.m3u8?zzhed,重复URL
[HD]营山[geo-blocked],rtmp://tv.drs.ysxtv.cn/channellive/ystv-bak,无效URL（非 http/https/rtsp 开头）
[HD]dazn1[geo-blocked],rtmp://f13h.mine.nu/sat/tv731,无效URL（非 http/https/rtsp 开头）
[HD]momo综合[geo-blocked],rtmp://f13h.mine.nu/sat/tv761,无效URL（非 http/https/rtsp 开头）
[HD]momo綜合[geo-blocked],rtmp://f13h.mine.nu:1935/sat/tv761,无效URL（非 http/https/rtsp 开头）
[BD]中天新闻,rtmp://digital-live-pull.zegonetwork.com/live/nb-py-ztxw,无效URL（非 http/https/rtsp 开头）
[VGA]中天新闻[geo-blocked],rtmp://home.aceimage.cn/live/xiangjiaoge-ztxw,无效URL（非 http/https/rtsp 开头）
[HD]中视[geo-blocked],rtmp://f13h.mine.nu/sat/tv091,无效URL（非 http/https/rtsp 开头）
[HD]中视[geo-blocked],rtmp://f13h.mine.nu:1935/sat/tv091,无效URL（非 http/https/rtsp 开头）
[HD]台视[geo-blocked],rtmp://f13h.mine.nu:1935/sat/tv071,无效URL（非 http/https/rtsp 开头）
[HD]台视[geo-blocked],rtmp://f13h.mine.nu/sat/tv071,无效URL（非 http/https/rtsp 开头）
[HD]综合[geo-blocked],rtmp://cstvplay.21cs.cn/cstv1/cstv1,无效URL（非 http/https/rtsp 开头）
[HD]东森超视[geo-blocked],rtmp://f13h.mine.nu/sat/tv331,无效URL（非 http/https/rtsp 开头）
[VGA]東森超視[geo-blocked],rtmp://f13h.mine.nu/sat/tv331,无效URL（非 http/https/rtsp 开头）
[HD]東森超視[geo-blocked],rtmp://f13h.mine.nu:1935/sat/tv331,无效URL（非 http/https/rtsp 开头）
[HD]民視[geo-blocked],rtmp://f13h.mine.nu/sat/tv051,无效URL（非 http/https/rtsp 开头）
[HD]纬来日本[geo-blocked],rtmp://f13h.mine.nu/sat/tv771,无效URL（非 http/https/rtsp 开头）
[VGA]緯來日本[geo-blocked],rtmp://f13h.mine.nu/sat/tv771,无效URL（非 http/https/rtsp 开头）
[HD]緯來育樂[geo-blocked],rtmp://f13h.mine.nu/sat/tv701,无效URL（非 http/https/rtsp 开头）
[HD]纬来体育[geo-blocked],rtmp://f13h.mine.nu/sat/tv721,无效URL（非 http/https/rtsp 开头）
[VGA]緯來體育[geo-blocked],rtmp://f13h.mine.nu:1935/sat/tv721,无效URL（非 http/https/rtsp 开头）
[HD]纬来体育[geo-blocked],rtmp://f13h.mine.nu:1935/sat/tv721,无效URL（非 http/https/rtsp 开头）
[HD]华视[geo-blocked],rtmp://f13h.mine.nu/sat/tv111,无效URL（非 http/https/rtsp 开头）
[HD]非凡新聞[geo-blocked],rtmp://f13h.mine.nu/sat/tv581,无效URL（非 http/https/rtsp 开头）
网神影厅508118,https://live.ottiptv.cc/douyu/508118,重复URL
