频道名,地址,来源,图标
Canal San Roque (1080p) [Not 24/7],https://cdnlivevlc.codev8.net/aytosanroquelive/smil:channel1.smil/playlist.m3u8,网络源,https://i.imgur.com/SN9kFKh.png
Canal Santa María (360p),https://streaming.telered.com.ar/santa-maria/streaming/mystream.m3u8,网络源,https://www.canalsantamaria.com.ar/images/santamaria_logo.jpg
Canal Santa Marta TV (720p),https://stream.amelbasoluciones.co/live/santamartalive.m3u8,网络源,https://i.imgur.com/HbWadhJ.png
Canal Saúde (720p) [Not 24/7],https://arkyvbre1g.zoeweb.tv/fiocruz/fiocruz.stream/playlist.m3u8,网络源,https://i.imgur.com/ht4tUOc.png
Canal Savoir (360p),https://hls.savoir.media/live/stream.m3u8,网络源,https://upload.wikimedia.org/wikipedia/commons/9/97/Savoir_m%C3%A9dia_logo_3.png
Canal Sierra de Cádiz (1080p) [Not 24/7],https://s.emisoras.tv:8081/sierradecadiz/index.m3u8,网络源,https://i.imgur.com/94rn7pb.png
Canal Sur (720p),https://avm.ecuamedia.net/canalsur/live/playlist.m3u8,网络源,https://i.imgur.com/LMoIpU2.jpg
Canal Sur Andalucia (1080p),https://dfk2a268yviz9.cloudfront.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-ddiii1m6jt6of/CanalSurAndaluciaES.m3u8,网络源,https://i.imgur.com/lznnA4v.png
Canal Sur Andalucía 2 (720p),https://cdnlive.codev8.net/rtvalive/smil:channel22.smil/playlist.m3u8,网络源,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Canal_Sur_2_-_2017_logo.png/500px-Canal_Sur_2_-_2017_logo.png
Canal Sur Noticias,https://cdnlive.codev8.net/rtvalive/smil:channel42.smil/playlist.m3u8,网络源,https://i.imgur.com/A3JscwS.png
Canal Telefamilia (360p) [Not 24/7],https://stmv2.voxtvhd.com.br/telefamilia/telefamilia/playlist.m3u8,网络源,https://i.imgur.com/D1s1Q3k.png
Canal TV3 (720p) [Not 24/7],https://streaming.telenetdigital.net.co:8086/canal3tv/stream.m3u8,网络源,https://i.imgur.com/pyeBDpg.jpeg
Canal TV Radio Maya TGBA (480p),https://stream.oursnetworktv.com/latin/radioTGBAgtm/playlist.m3u8,网络源,https://i.imgur.com/kORStT1.png
Canal Visof (720p),https://stream.oursnetworktv.com/latin/Visof/playlist.m3u8,网络源,https://i.imgur.com/XiszuLl.png
Canal Zoom [Geo-blocked],https://tvlocales-live.freecaster.com/live/95d2e3af-5ab8-45a9-9dc9-f544d006b5d5/95d2e3af-5ab8-45a9-9dc9-f544d006b5d5.isml/master.m3u8,网络源,https://i.imgur.com/JUNP8Rx.png
Canal+ en clair (720p) [Geo-blocked] [Geo-Blocked],https://viamotionhsi.netplus.ch/live/eds/canalplusclair/browser-dash/canalplusclair.mpd,网络源,https://i.imgur.com/5HcyMnW.png
Canal+ Haiti [Geo-blocked],https://vdo.pro-fhi.net:3605/live/dgenlcpmlive.m3u8,网络源,https://i.imgur.com/Gad5qrd.png
CanalCosta (1080p),https://5d8d85cf2c308.streamlock.net:1936/CanalcostaTV/endirecto/playlist.m3u8,网络源,https://i.imgur.com/ap4FmYb.png
Canalda 26 HD [Not 24/7],https://canalda.rgradio.net:3084/live/canaldalive.m3u8,网络源,https://canaldahd.com/wp-content/uploads/2023/03/cropped-canaldahdlogo-1.png
Canale 2 Altamura (576p) [Not 24/7],https://59d7d6f47d7fc.streamlock.net/canale2/canale2/playlist.m3u8,网络源,https://i.imgur.com/7XXdN5T.png
Canale 5 [Geo-blocked],https://live3-mediaset-it.akamaized.net/Content/hls_h0_clr_vos/live/channel(C5)/index.m3u8,网络源,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Canale_5_-_2018_logo.svg/960px-Canale_5_-_2018_logo.svg.png
Canale 5 HD (720p) [Geo-Blocked],https://viamotionhsi.netplus.ch/live/eds/canale5/browser-dash/canale5.mpd,网络源,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Canale_5_-_2018_logo.svg/960px-Canale_5_-_2018_logo.svg.png
Canale 7 (480p),http://wms.shared.streamshow.it/canale7/canale7/playlist.m3u8,网络源,https://canale7.tv/assets/front/img/fb_logo.jpg
Canale 8 (480p),http://wms.shared.streamshow.it/canale8/canale8/playlist.m3u8,网络源,https://i.imgur.com/xwYmFgj.png
Canale 10 (540p) [Not 24/7],http://37.187.142.147:1935/ch10live/high.stream/playlist.m3u8,网络源,https://i.imgur.com/8Pay0Vv.png
Canale 21 Extra (576p),https://0ff9dd7fe9b64bc08a5fc4ed525454c3.msvdn.net/live/S42170132/sT6C3LFaD1iA/playlist.m3u8,网络源,https://i.imgur.com/Jy8lMOg.png
Canali TV (720p) [Geo-blocked],http://live.streams.ovh:1935/cannali/cannali/playlist.m3u8,网络源,https://i.imgur.com/bGIdE9N.png
Cananga TV (720p),https://cdn.streamingcpanel.com:3545/live/canangatlive.m3u8,网络源,https://i.imgur.com/isXlMAh.png
