频道名,地址,来源,图标,检测时间,分组,视频编码,分辨率,帧率,音频,失败原因
,http://120.76.248.139/live/bfgd/4200000118.m3u8,网络源,,20.183,,,,,无音频,timeout
,http://cdn9.163189.xyz/smt1.1.php?id=pearl_twn,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/明珠台.png,20.002,,,,,无音频,timeout
,https://derste247liveint.akamaized.net/hls/live/662735/daserste_int/master.m3u8,网络源,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/ARD_Dachmarke_2014.svg/512px-ARD_Dachmarke_2014.svg.png,20.002,,,,,无音频,timeout
,http://106.116.242.116:9999/rtp/239.254.200.87:8124,网络源,,20.002,,,,,无音频,timeout
,https://stream1.freetv.fun/cctv-8-9.ctv,网络源,https://epg.pw/media/images/channel/2025/01/28/large/20250128055557713287_44.png,20.002,,,,,无音频,timeout
,http://zqh2333.top:2222/rtp/239.93.24.9:2192,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/凤凰中文.png,20.001,,,,,无音频,timeout
,http://php.jdshipin.com/TVOD/iptv.php,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/凤凰中文.png,20.003,,,,,无音频,timeout
,http://zqh2333.top:2222/rtp/239.93.24.4:2191,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/凤凰资讯.png,20.002,,,,,无音频,timeout
,https://stream1.freetv.fun/cctv10-43.m3u8,网络源,https://epg.pw/media/images/channel/2025/01/25/large/20250125001612572151_13.png,20.002,,,,,无音频,timeout
,http://183.11.239.36:808/hls/106/index.m3u8,网络源,,20.005,,,,,无音频,timeout
,https://stream1.freetv.fun/cctv-10-18.ctv,网络源,https://epg.pw/media/images/channel/2025/01/25/large/20250125001612572151_13.png,20.006,,,,,无音频,timeout
,http://api.mg.itv888.cn:8080/hls/2f80047f91e/index.m3u8,网络源,https://gh.catmak.name/https://raw.githubusercontent.com/fanmingming/live/main/tv/凤凰卫视.png,20.003,,,,,无音频,timeout
