频道名,地址,来源,图标,检测时间,分组,视频信息
CCTV4,http://111.221.137.155:44330/tsfile/live/0004_1.m3u8?key=txiptv,网络源,,2.433,未分组,
CCTV1,http://124.116.183.146:9901/tsfile/live/0001_1.m3u8,网络源,,4.063,未分组,
CCTV3,http://112.27.235.94:8000/hls/3/index.m3u8,网络源,,2.424,未分组,
CCTV6,https://shyd.695847.xyz/cms001/ch00000090990000001188/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12,网络源,,2.754,未分组,
CCTV6,http://116.128.242.83:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0,网络源,,4.969,未分组,
CCTV6,https://iptv.catvod.com/live.php?id=CCTV6%E7%94%B5%E5%BD%B1,网络源,,9.067,未分组,
CCTV3,http://59.39.89.130:60901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0,网络源,,9.559,未分组,
CCTV8,https://migu.188766.xyz/?migutoken=b9d6023f7c2ad1a50978c95fda7d0b55&id=CCTV8&type=yy,网络源,,9.604,未分组,
CCTV5+,http://116.128.242.83:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0,网络源,,8.122,未分组,
CCTV3,http://222.169.85.8:9901/tsfile/live/0003_1.m3u8,网络源,,4.243,未分组,
CCTV5+,http://218.17.33.178:53290/tsfile/live/1005_1.m3u8?key=txiptv,网络源,,2.321,未分组,
CCTV5,http://drive.mxmy.net:8888/udp/239.3.1.173:8001,网络源,,8.305,未分组,
CCTV6,http://sh.lnott.top:880/dx06.m3u8,网络源,,3.514,未分组,
CCTV8,http://220.170.241.204:9901/tsfile/live/0008_1.m3u8,网络源,,2.005,未分组,
CCTV2,https://migu.188766.xyz/?migutoken=9a1bab759188c0d562d59e3c4b3d063c&id=CCTV2&type=yy,网络源,,0.802,未分组,
CCTV1,http://www.cdnstv.com:6398/hls/1/index.m3u8,网络源,,16.529,未分组,
CCTV4,https://iptv.catvod.com/live.php?id=CCTV-4%20%E4%B8%AD%E6%96%87%E5%9B%BD%E9%99%85%20%E6%AC%A7%E6%B4%B2,网络源,,3.632,未分组,
CCTV5+,https://migu.188766.xyz/?migutoken=dbfcd95524e49978848c8ea61916c6b9&id=CCTV5p&type=yy,网络源,,0.750,未分组,
20251111 04:16,https://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8?contentid=2820180516001,网络源,,7.184,未分组,
CCTV2,https://migu.188766.xyz/?migutoken=a031c05c05bc8e3244812b8edce82580&id=CCTV2&type=yy,网络源,,0.849,未分组,
CCTV6,http://218.3.138.25:1111/tsfile/live/1005_1.m3u8,网络源,,9.862,未分组,
CCTV3,http://111.221.137.155:44330/tsfile/live/0003_1.m3u8?key=txiptv,网络源,,5.142,未分组,
CCTV7,https://www.freetv.top/migu/673168121.m3u8?migutoken=e78f83938702d1bbe1b942fbec9a4863f5e3233d946d4cb9d5650315c000e4b18fbeeecf6ea2debe700775517292edb56b8b5d596b464d112fbf4dc3fab926b0f9ec01cf52b7a4a97b4be82ad4,网络源,,1.160,未分组,
CCTV6,http://112.27.235.94:8000/hls/7/index.m3u8,网络源,,2.356,未分组,
CCTV1,http://drive.mxmy.net:8888/udp/239.3.1.129:8008,网络源,,17.238,未分组,
CCTV8,https://migu.188766.xyz/?migutoken=cb9a5bf14aeec062a2d3c0ede9059ddb&id=CCTV8&type=yy,网络源,,0.782,未分组,
CCTV7,https://migu.188766.xyz/?migutoken=b2d46817685790aae1615dbd54734822&id=CCTV7&type=yy,网络源,,3.496,未分组,
CCTV5+,https://migu.188766.xyz/?migutoken=84d35db7b79206c61f6e0f17c60ab18d&id=CCTV5p&type=yy,网络源,,0.813,未分组,
CCTV2,https://migu.188766.xyz/?migutoken=6894b922521e2e7ce431b2cb3d7c4663&id=CCTV2&type=yy,网络源,,3.456,未分组,
