频道名,地址,来源,图标,检测时间,分组,视频编码,分辨率,帧率,音频,未通过信息,相似度,是否假源,是否轮回,轮回相似度,轮回波动
åŒ—äº¬ç”Ÿæ´»,https://migu.188766.xyz/?migutoken=42c3cdb90190cfbb68aa926990ba2e82&id=%E5%8C%97%E4%BA%ACi%E7%94%9F%E6%B4%BB&type=yy,网络源,åŒ—äº¬ç”Ÿæ´».png,0.858,未分组,,,,无音频,error,0.0,True,True,0,0
ä¸œæ–¹å½±è§†,http://www.wmviv.com/iptv/bc2t.php?id=dfys,网络源,ä¸œæ–¹å½±è§†.png,1.384,未分组,,,,无音频,error,0.0,False,False,0,0
æ¹–å—éƒ½å¸‚,https://stream1.freetv.fun/hu-nan-du-shi-4.m3u8,网络源,æ¹–å—éƒ½å¸‚.png,2.668,未分组,,,,无音频,error,0.0,False,False,0,0
ç¦å»ºæ—…æ¸¸,https://stream1.freetv.fun/fu-jian-lu-you-6.m3u8,网络源,ç¦å»ºæ—…æ¸¸.png,2.675,未分组,,,,无音频,error,0.0,False,False,0,0
ç¬¬ä¸€è´¢ç»,https://stream1.freetv.fun/ipv6-di-yi-cai-jing-8.m3u8,网络源,ç¬¬ä¸€è´¢ç».png,2.670,未分组,,,,无音频,error,0.0,False,False,0,0
é‡‘é¹°çºªå®,https://stream1.freetv.fun/jin-ying-ji-shi-2.ctv,网络源,é‡‘é¹°çºªå®.png,2.723,未分组,,,,无音频,error,0.0,False,False,0,0
è‹å·æ–‡åŒ–ç”Ÿæ´»,https://stream1.freetv.fun/su-zhou-wen-hua-sheng-huo-2.m3u8,网络源,è‹å·æ–‡åŒ–ç”Ÿæ´».png,2.731,未分组,,,,无音频,error,0.0,False,False,0,0
ç¦å»ºå°‘å„¿,https://stream1.freetv.fun/fu-jian-shao-er-1.m3u8,网络源,ç¦å»ºå°‘å„¿.png,2.884,未分组,,,,无音频,error,0.0,False,False,0,0
æ­¦æ±‰å››å°ç»æµ,https://stream1.freetv.fun/wu-yi-jing-ji-1.m3u8,网络源,æ­¦æ±‰å››å°ç»æµ.png,2.900,未分组,,,,无音频,error,0.0,False,False,0,0
è§å±±æ–°é—»ç»¼åˆ,https://stream1.freetv.fun/xiao-shan-xin-wen-zong-he-7.m3u8,网络源,è§å±±æ–°é—»ç»¼åˆ.png,2.921,未分组,,,,无音频,error,0.0,False,False,0,0
ä¹å±±æ–°é—»ç»¼åˆ,https://stream1.freetv.fun/le-shan-xin-wen-zong-he-1.m3u8,网络源,ä¹å±±æ–°é—»ç»¼åˆ.png,2.932,未分组,,,,无音频,error,0.0,False,False,0,0
æ¹–åŒ—å½±è§†,https://stream1.freetv.fun/hu-bei-ying-shi-1.ctv,网络源,æ¹–åŒ—å½±è§†.png,2.927,未分组,,,,无音频,error,0.0,False,False,0,0
æ¹–åŒ—æ•™è‚²,https://stream1.freetv.fun/hu-bei-jiao-yu-1.ctv,网络源,æ¹–åŒ—æ•™è‚².png,2.925,未分组,,,,无音频,error,0.0,False,False,0,0
æ¹–å—å…¬å…±,https://stream1.freetv.fun/hu-nan-gong-gong-2.ctv,网络源,æ¹–å—å…¬å…±.png,2.929,未分组,,,,无音频,error,0.0,False,False,0,0
æµ™æ±Ÿå°‘å„¿,https://stream1.freetv.fun/zhe-jiang-shao-er-6.ctv,网络源,æµ™æ±Ÿå°‘å„¿.png,3.220,未分组,h264,640x360,25.0,有音频,疑似假源,0.526,True,True,1.0,0.0
æµ™æ±Ÿæ•™ç§‘,http://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8,网络源,æµ™æ±Ÿæ•™ç§‘.png,3.296,未分组,h264,1920x1080,25.0,有音频,疑似假源,0.5,True,True,1.0,0.0
ä¸Šæµ·ç¬¬ä¸€è´¢ç»,https://migu.188766.xyz/?migutoken=48076f7837fe4f59da0dbd882998f16d&id=dycj&type=sz,网络源,ä¸Šæµ·ç¬¬ä¸€è´¢ç».png,0.655,未分组,h264,1920x1080,28.0,有音频,疑似假源,0.5,True,True,1.0,0.0
å™å·æ–°é—»ç»¼åˆ,https://stream1.freetv.fun/xu-zhou-xin-wen-zong-he-7.m3u8,网络源,å™å·æ–°é—»ç»¼åˆ.png,3.537,未分组,,,,无音频,error,0.0,False,False,0,0
å¾å·å…¬å…±,http://iptv.666230.xyz/iptv/jsyd.php/xzgg,网络源,å¾å·å…¬å…±.png,0.087,未分组,,,,无音频,error,0.0,False,False,0,0
å—å®å½±è§†å¨±ä¹,https://stream1.freetv.fun/nan-zhu-ying-shi-yu-le-4.m3u8,网络源,å—å®å½±è§†å¨±ä¹.png,2.411,未分组,,,,无音频,error,0.0,False,False,0,0
è¾½å®å½±è§†å‰§,https://stream1.freetv.fun/liao-zhu-ying-shi-ju-1.m3u8,网络源,è¾½å®å½±è§†å‰§.png,2.117,未分组,,,,无音频,error,0.0,False,False,0,0
å™å·æ–°é—»ç»¼åˆ,https://stream1.freetv.fun/xu-zhou-xin-wen-zong-he-3.m3u8,网络源,å™å·æ–°é—»ç»¼åˆ.png,2.093,未分组,,,,无音频,error,0.0,False,False,0,0
è“¬å®‰æ–°é—»ç»¼åˆ,https://stream1.freetv.fun/peng-an-xin-wen-zong-he-2.m3u8,网络源,è“¬å®‰æ–°é—»ç»¼åˆ.png,1.977,未分组,,,,无音频,error,0.0,False,False,0,0
è†é—¨æ–°é—»ç»¼åˆ,https://stream1.freetv.fun/jing-men-xin-wen-zong-he-6.m3u8,网络源,è†é—¨æ–°é—»ç»¼åˆ.png,2.126,未分组,,,,无音频,error,0.0,False,False,0,0
çŒé˜³æ–°é—»ç»¼åˆ,https://ls.qingting.fm/live/5043/64k.m3u8,网络源,çŒé˜³æ–°é—»ç»¼åˆ.png,3.975,未分组,h264,,,有音频,error,0.0,False,False,0,0
æ¹–åŒ—æ•™è‚²,https://stream1.freetv.fun/hu-bei-jiao-yu-4.ctv,网络源,æ¹–åŒ—æ•™è‚².png,2.122,未分组,,,,无音频,error,0.0,False,False,0,0
å—å®æ–°é—»ç»¼åˆ,https://stream1.freetv.fun/nan-zhu-xin-wen-zong-he-1.m3u8,网络源,å—å®æ–°é—»ç»¼åˆ.png,2.082,未分组,,,,无音频,error,0.0,False,False,0,0
æ¹–å—ç”µè§†å‰§,https://stream1.freetv.fun/hu-nan-dian-shi-ju-3.m3u8,网络源,æ¹–å—ç”µè§†å‰§.png,2.103,未分组,,,,无音频,error,0.0,False,False,0,0
ç”Ÿæ´»æ—¶å°š,https://stream1.freetv.fun/sheng-huo-shi-shang-29.m3u8,网络源,ç”Ÿæ´»æ—¶å°š.png,2.119,未分组,,,,无音频,error,0.0,False,False,0,0
ç¦å»ºç”µè§†å‰§,https://stream1.freetv.fun/fu-jian-dian-shi-ju-5.m3u8,网络源,ç¦å»ºç”µè§†å‰§.png,2.387,未分组,,,,无音频,error,0.0,False,False,0,0
æ–°é—»ç»¼åˆ,https://stream1.freetv.fun/xin-wen-zong-he-13.m3u8,网络源,æ–°é—»ç»¼åˆ.png,2.107,未分组,,,,无音频,error,0.0,False,False,0,0
ä¸Šè™æ–°å•†éƒ½,https://stream1.freetv.fun/shang-yu-xin-shang-du-4.m3u8,网络源,ä¸Šè™æ–°å•†éƒ½.png,2.054,未分组,,,,无音频,error,0.0,False,False,0,0
å¼€åŒ–å›½å®¶å…¬å›­,http://l.cztvcloud.com/channels/lantian/SXkaihua2/720p.m3u8zzhed,网络源,å¼€åŒ–å›½å®¶å…¬å›­.png,2.841,未分组,h264,1280x720,25.0,有音频,疑似假源,0.5104,True,True,1.0,0.0
æµ™æ±Ÿå›½é™…,https://stream1.freetv.fun/zhe-jiang-guo-ji-7.m3u8,网络源,æµ™æ±Ÿå›½é™….png,1.922,未分组,,,,无音频,error,0.0,False,False,0,0
åŒ—äº¬ç”Ÿæ´»,https://migu.188766.xyz/?migutoken=ebac33487fb14297e10f0a7f96677c9d&id=%E5%8C%97%E4%BA%ACi%E7%94%9F%E6%B4%BB&type=yy,网络源,åŒ—äº¬ç”Ÿæ´».png,0.612,未分组,h264,1920x1080,28.0,有音频,疑似假源,0.5,True,True,1.0,0.0
ç¦å»ºç”µè§†å‰§,https://stream1.freetv.fun/fu-jian-dian-shi-ju-6.m3u8,网络源,ç¦å»ºç”µè§†å‰§.png,1.823,未分组,,,,无音频,error,0.0,False,False,0,0
ç¦å»ºå°‘å„¿,https://stream1.freetv.fun/fu-jian-shao-er-4.m3u8,网络源,ç¦å»ºå°‘å„¿.png,1.740,未分组,,,,无音频,error,0.0,False,False,0,0
ä¹‰ä¹Œæ–°é—»ç»¼åˆ,https://44911.hlsplay.aodianyun.com/tv_radio_44911/tv_channel_1796.m3u8?auth_key=4830573978-0-0-92824c2c03f95906a3c49a4aa28f1709&extra_key=Yc1XsmxOKy2UBoPM4Wy5vCPsEYqnj06taCR2SRB2Xrg2w28NPilH03KdIbbM5wgSql-VBohSnoO9AOKl94q2t2DWMftz-XB-2qUX-UjXcS80StcSZahBFjrKLivXaRjiY5r2NOMKWMKFbv-S0Bz2G6iEXgCK8yGjtrFHDcPfAQEE0pvXq0Bwy34b7We8zARN&ali_ffmpeg_version=mpengine,网络源,ä¹‰ä¹Œæ–°é—»ç»¼åˆ.png,1.825,未分组,,,,无音频,error,0.0,False,False,0,0
æ¹–å—ç»è§†,https://stream1.freetv.fun/hu-nan-jing-shi-5.m3u8,网络源,æ¹–å—ç»è§†.png,1.974,未分组,,,,无音频,error,0.0,False,False,0,0
æ­¦æ±‰æ•™è‚²,https://stream1.freetv.fun/wu-yi-jiao-yu-4.m3u8,网络源,æ­¦æ±‰æ•™è‚².png,2.025,未分组,,,,无音频,error,0.0,False,False,0,0
