频道名,地址,来源,图标,检测时间,分组,视频编码,分辨率,帧率,音频,未通过信息,相似度
Perform (1080p),https://4a72da62.wurl.com/master/f36d25e7e52f1ba8d7e56eb859c636563214f541/Um9rdV9QZXJmb3JtX0hMUw/playlist.m3u8,网络源,,0.452,未分组,,,,无音频,error,0.0
Real Crime (1080p) [Geo-blocked],https://amg00426-littledotstudio-realcrimebeta-samsungse-lpne7.amagi.tv/playlist/amg00426-littledotstudio-realcrimebeta-samsungse/playlist.m3u8,网络源,,0.433,未分组,,,,无音频,error,0.0
Rai 4 (576p) [Geo-blocked],https://mediapolis.rai.it/relinker/relinkerServlet.htm?cont=746966,网络源,https://i.imgur.com/sEY21rg.png,0.706,未分组,,,,无音频,error,0.0
Radio Zeta,https://uvotv-aniview.global.ssl.fastly.net/10010/live/hls/radiozeta/playlist.m3u8,网络源,https://i.imgur.com/K2xLMin.png,0.111,未分组,,,,无音频,error,0.0
Polsat JimJam,http://185.236.229.62:9981/play/a07e,网络源,https://i.imgur.com/GjppUlg.png,0.285,未分组,,,,无音频,error,0.0
Q TV Zambia,https://uvotv-aniview.global.ssl.fastly.net/hls/live/2119689/qtv/playlist.m3u8,网络源,https://i.imgur.com/vzeDJ2v.png,0.110,未分组,,,,无音频,error,0.0
Priamyi,https://uvotv-aniview.global.ssl.fastly.net/10010/dvr/hls/pryamyitv/playlist.m3u8,网络源,https://i.imgur.com/sEdzw80.png,0.145,未分组,,,,无音频,error,0.0
Power Hit Radio (576p),https://cdnlb.tvplayhome.lt/live/eds/PWR_LTU_Live/GO3_LIVE_HLS/PWR_LTU_Live.m3u8?cdntoken=eyJhbGciOiJIUzUxMiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NDczNDU2NjEsInBhdGgiOiIvbGl2ZS9lZHMvUFdSX0xUVV9MaXZlL0dPM19MSVZFX0hMUy8iLCJzaXAiOiI3Mi4xMS4xNTcuMTEyIiwiZGV2aWNlX2lkIjoiMCIsInNlc3Npb25faWQiOiIwIiwiY2xpZW50X2lkIjoiMCJ9.oHc5wUgwNPQ-4P7wJy_WvWQh0muFg9Lprhc4STS3cUHi0FI4tAKGdZOOeE-dOhVBHKFUYETmoXSMrrVHOeLC3g,网络源,https://i.imgur.com/GOlQbfC.png,0.672,未分组,,,,无音频,error,0.0
Puls 2 (1080p),http://185.236.229.62:9981/play/a02y,网络源,https://i.postimg.cc/mk8Wt6gM/puls2.png,0.264,未分组,,,,无音频,error,0.0
PTV Almería (1080p),https://streamer.zapitv.com/ptv_almeria/index.m3u8,网络源,https://i.imgur.com/X3eIdVf.png,0.852,未分组,,,,无音频,error,0.0
Realitatea Sportiva (720p),https://stream.realitatea.net/realitatea/sportiva_md/ts:playlist.m3u8,网络源,https://i.imgur.com/BaEyZto.png,2.257,未分组,h264,,,有音频,error,0.0
PTV Málaga (1080p),https://streamer.zapitv.com/PTV-malaga/index.m3u8,网络源,https://i.imgur.com/4eZYIX1.png,0.592,未分组,,,,无音频,error,0.0
PTV Linares (720p),https://streamer.zapitv.com/ptv-linarez/index.m3u8,网络源,https://i.imgur.com/IqChsLQ.png,0.597,未分组,,,,无音频,error,0.0
QVC,https://uvotv-aniview.global.ssl.fastly.net/10010/live/hls/qvchd/playlist.m3u8,网络源,https://i.imgur.com/6TWUVrh.png,0.108,未分组,,,,无音频,error,0.0
PTV Córdoba (1080p),https://streamer.zapitv.com/PTV_CORDOBA/index.m3u8,网络源,https://i.imgur.com/X3eIdVf.png,0.806,未分组,,,,无音频,error,0.0
Radio Televizija Banovina (1080p) [Not 24/7],https://pool.alter-media.hr:1936/live/myStream/playlist.m3u8?DVR=,网络源,https://i.imgur.com/gCFgC5D.png,2.790,未分组,h264,1280x720,25.0,有音频,ok; 伪源相似度: 1.0000,1.0
PTV Sevilla (1080p),https://streamer.zapitv.com/PTV_sevilla/index.m3u8,网络源,https://i.imgur.com/EcinFGu.png,0.515,未分组,,,,无音频,error,0.0
PTV Granada (720p),https://streamer.zapitv.com/PTV-granada/index.m3u8,网络源,https://i.imgur.com/eOcAakM.png,0.638,未分组,,,,无音频,error,0.0
RAI 4K [Geo-blocked],https://raievent10-elem-live.akamaized.net/hls/live/619189/raievent10/raievent10/playlist.m3u8,网络源,https://i.imgur.com/O1K1fv4.png,0.363,未分组,,,,无音频,error,0.0
Rakuten TV Romance Movies Finland (1080p),https://romance-rakuten-tv-fi.fast.rakuten.tv/v1/master/0547f18649bd788bec7b67b746e47670f558b6b2/production-LiveChannel-6744/master.m3u8,网络源,,5.797,未分组,h264,1920x1080,25.0,有音频,error,0.0
Real Crime,https://cdn-apse1-prod.tsv2.amagi.tv/linear/amg00426-littledotstudio-realcrimebetanz-samsungnz/playlist.m3u8,网络源,,0.627,未分组,,,,无音频,error,0.0
Parlamentsfernsehen 2 (1080p) [Not 24/7],https://bttv-live-z.r53.cdn.tv1.eu/13014bundestag-hk2/_definst_/live/video/hk2_de.smil/playlist.m3u8,网络源,https://i.imgur.com/mksEgwx.png,4.750,未分组,h264,480x270,50.0,有音频,ok; 伪源相似度: 0.9688,0.9688
Polsat (1080p) [Geo-blocked],https://lb2-e2-19.pluscdn.pl/ch/1502600/308/dash/20a18c30/live.mpd,网络源,https://i.imgur.com/xff6zGN.png,0.924,未分组,,,,无音频,error,0.0
Prime TV,https://uvotv-aniview.global.ssl.fastly.net/hls/live/2119690/primetv/playlist.m3u8,网络源,https://i.imgur.com/Rz8A9vV.jpg,0.119,未分组,,,,无音频,error,0.0
