频道名,地址,来源,图标,检测时间,分组,视频编码,分辨率,帧率,音频,相似度
[BD]cctv3hd,https://stream1.freetv.fun/cctv3hd-2.m3u8,网络源,https://epg.pw/media/images/channel/2025/01/25/large/20250125001936710108_56.png,1.552,未分组,h264,1920x1080,25.0,有音频,0.4219
[BD]cctv11hd,https://stream1.freetv.fun/cctv11hd-1.m3u8,网络源,https://epg.pw/media/images/channel/2025/01/25/large/20250125001605278776_41.png,1.613,未分组,h264,1920x1080,25.0,有音频,0.8438
[BD]al jazeera,https://stream1.freetv.fun/al-jazeera-5.ctv,网络源,https://epg.pw/media/images/channel/2023/09/04/large/20230904160018056594_85.png,2.012,未分组,h264,1920x1080,25.0,有音频,0.5781
[SD]newfoundland television (480p),https://stream1.freetv.fun/newfoundland-television-2.m3u8,网络源,https://epg.pw/media/images/channel/2019/01/06/large/20190106152133298331_44.png,2.049,未分组,h264,854x480,,有音频,0.4062
[BD]arirang radio,https://stream1.freetv.fun/arirang-radio-1.m3u8,网络源,https://epg.pw/media/images/channel/2021/01/02/large/20210102201441051240_32.png,2.191,未分组,h264,1280x720,25.0,有音频,0.7656
[HD]cbs sports network =,https://stream1.freetv.fun/cbs-sports-network-1.ctv,网络源,https://epg.pw/media/images/channel/2022/08/17/large/20220817142130561573_49.png,2.305,未分组,h264,1280x720,29.97002997002997,有音频,0.4531
[BD]us epix drive in,https://stream1.freetv.fun/us-epix-drive-in-1.ctv,网络源,https://epg.pw/media/images/channel/2021/06/24/large/20210624003447280269_10.png,2.398,未分组,h264,1920x1080,29.97002997002997,有音频,0.3438
[BD]bbc news[geo-blocked],https://stream1.freetv.fun/bbc-news-4.ctv,网络源,https://epg.pw/media/images/channel/2016/06/13/large/20160613215356459079_10.png,2.456,未分组,h264,1280x720,25.0,有音频,0.4375
[BD]mgg e-sport[geo-blocked],https://stream1.freetv.fun/mgg-e-sport-1.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2017/08/09/20170809042132191729_22.jpg,2.480,未分组,h264,1280x720,25.0,有音频,0.5938
[VGA]antv,https://stream1.freetv.fun/antv-7.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/07/large/20220507044510252072_92.png,2.486,未分组,h264,1280x720,25.0,有音频,0.5156
[HD]cbs news chicago,https://stream1.freetv.fun/cbs-news-chicago-2.m3u8,网络源,https://epg.pw/media/images/channel/2022/09/21/large/20220921003134675689_79.png,2.505,未分组,h264,1280x720,25.0,有音频,0.5781
[BD]al ghad tv,https://stream1.freetv.fun/al-ghad-tv-2.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/06/large/20220506174648168867_59.png,2.507,未分组,h264,1280x720,25.0,有音频,0.5
[BD]asharq news,https://stream1.freetv.fun/asharq-news-1.m3u8,网络源,https://epg.pw/media/img/logo/2013/10/30/8edf68fca605a7b93c190c26e55838a3.png,2.518,未分组,h264,1280x720,25.0,有音频,0.5625
[BD]band mg,https://stream1.freetv.fun/band-mg-1.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/06/large/20220506174314612171_11.png,2.524,未分组,h264,1280x720,25.0,有音频,0.5312
[BD]catholic tv,https://stream1.freetv.fun/catholic-tv-3.m3u8,网络源,https://epg.pw/media/img/logo/2013/10/30/5ecf5c1d66f3f71ed8088b49e763c19c.png,2.554,未分组,h264,1280x720,25.0,有音频,0.2969
[HD]sato plus,https://stream1.freetv.fun/sato-plus-2.m3u8,网络源,https://epg.pw/media/img/logo/A_PLUS.PNG,2.562,未分组,h264,1280x720,25.0,有音频,0.7188
[BD]beyaz tv,https://stream1.freetv.fun/beyaz-tv-2.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/06/large/20220506174109275029_79.png,1.330,未分组,h264,1280x720,25.0,有音频,0.3906
[HD]bein sports usa,https://stream1.freetv.fun/bein-sports-usa-2.m3u8,网络源,https://epg.pw/media/images/channel/2024/08/25/large/20240825041356860019_82.png,3.087,未分组,h264,1280x720,59.94005994005994,有音频,0.4844
[SD]animax [geo-blocked],https://stream1.freetv.fun/animax-2.m3u8,网络源,https://epg.pw/media/images/channel/2025/01/25/large/20250125013114796464_35.png,3.272,未分组,h264,1920x1080,29.97002997002997,有音频,0.7344
[SD]tvt zgorzelec,https://stream1.freetv.fun/tvt-zgorzelec-1.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2015/04/20/20150420071750455994_44.jpg,3.402,未分组,h264,1024x576,25.0,有音频,0.4062
[BD]arena sport 1,https://stream1.freetv.fun/arena-sport-1-1.ctv,网络源,https://epg.pw/media/uploads/tmp_logo/2015/08/21/20150821170159309575_77.jpg,3.471,未分组,h264,1920x1080,25.0,有音频,0.7188
[BD]cctv17[geo-blocked],https://stream1.freetv.fun/cctv17-35.m3u8,网络源,https://epg.pw/media/images/channel/2025/01/25/large/20250125001508671387_16.jpg,1.515,未分组,h264,1280x720,25.0,有音频,0.0
[SD]5 канал,https://stream1.freetv.fun/5-kanal-1.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/06/large/20220506174819530509_49.png,3.635,未分组,h264,720x576,50.0,有音频,0.5625
ä¹å±±å¤§ä½›å…¨æ™¯,https://gcalic.v.myalicdn.com/gc/lsdfgfl_1/index.m3u8,网络源,,3.805,未分组,h264,1920x1080,25.0,有音频,0.8906
[BD]haunt tv,https://stream1.freetv.fun/haunt-tv-2.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2017/02/16/20170216061058520639_81.png,1.512,未分组,h264,1280x720,25.0,有音频,0.5938
[BD]al shallal,https://stream1.freetv.fun/al-shallal-1.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2017/03/04/20170304141707296653_95.png,1.606,未分组,h264,1280x720,25.0,有音频,0.4531
[BD]cctv1,https://stream1.freetv.fun/cctv1-36.ctv,网络源,https://epg.pw/media/images/channel/2024/05/16/large/20240516043525045887_55.png,1.599,未分组,h264,1280x720,25.0,有音频,0.0
æ³°å±±ç‰çš‡é¡¶,https://gcalic.v.myalicdn.com/gc/taishan06_1/index.m3u8,网络源,,4.234,未分组,h264,1920x1080,25.0,有音频,0.7812
[HD]al sahat,https://stream1.freetv.fun/al-sahat-1.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2017/02/16/20170216054227823531_23.jpg,1.777,未分组,h264,1024x768,30.0,有音频,0.5938
[HD]yes network,https://stream1.freetv.fun/yes-network-3.m3u8,网络源,https://epg.pw/media/images/channel/2017/09/17/large/20170917225055829014_84.jpg,4.474,未分组,h264,1280x720,59.94005994005994,有音频,0.4375
[BD]extreme plus[geo-blocked],https://stream1.freetv.fun/extreme-plus-1.m3u8,网络源,https://epg.pw/media/img/logo/A_PLUS.PNG,1.494,未分组,h264,1280x720,25.0,有音频,0.4375
[BD]cctv10,https://stream1.freetv.fun/cctv10-19.m3u8,网络源,https://epg.pw/media/images/channel/2025/01/25/large/20250125001612572151_13.png,2.634,未分组,h264,1920x1080,25.0,有音频,0.0
[BD]africa 24 ᴴᴰ,https://stream1.freetv.fun/africa-24-hd-1.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2015/08/21/20150821104534160761_51.png,5.396,未分组,h264,1920x1080,50.0,有音频,0.4688
[BD]boomerang *m[geo-blocked],https://stream1.freetv.fun/boomerang--m-1.ctv,网络源,https://epg.pw/media/images/channel/2025/01/30/large/20250130005610442704_21.png,3.011,未分组,h264,1920x1080,25.0,有音频,0.7188
[HD]abc news,https://stream1.freetv.fun/abc-news-2.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2017/10/09/20171009012506131666_63.png,1.503,未分组,h264,1280x720,25.0,有音频,0.4688
[SD]america's test kitchen,https://stream1.freetv.fun/america-s-test-kitchen-2.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2015/02/13/20150213031809681089_50.jpg,2.065,未分组,h264,426x240,30.0,有音频,0.5781
[HD]boing[geo-blocked],https://stream1.freetv.fun/boing-4.m3u8,网络源,https://epg.pw/media/images/channel/2015/11/28/large/20151128175122054896_87.jpg,1.517,未分组,h264,1280x720,25.0,有音频,0.5
[BD]al jazeera mubasher,https://stream1.freetv.fun/al-jazeera-mubasher-3.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/06/large/20220506174154957657_95.png,1.515,未分组,h264,1280x720,25.0,有音频,0.6094
[HD]cctv3[geo-blocked],https://stream1.freetv.fun/cctv3-26.m3u8,网络源,https://epg.pw/media/images/channel/2025/01/25/large/20250125001936710108_56.png,5.993,未分组,h264,1280x720,25.0,有音频,0.5
ä¹Œé•‡è¥¿å¸‚æ²³,https://gcalic.v.myalicdn.com/gc/zjwzbblh_1/index.m3u8,网络源,,3.505,未分组,h264,1280x720,25.0,有音频,0.8438
[BD]amc thrillers ==,https://stream1.freetv.fun/amc-thrillers-4.ctv,网络源,https://epg.pw/media/images/channel/2022/04/01/large/20220401234506250664_19.png,1.578,未分组,h264,1920x1080,29.97002997002997,有音频,0.6406
[SD]cbs news bay area (720p),https://stream1.freetv.fun/cbs-news-bay-area-2.m3u8,网络源,https://epg.pw/media/images/channel/2022/09/21/large/20220921003134675689_79.png,2.755,未分组,h264,1280x720,29.97002997002997,有音频,0.5469
[SD]love boat,https://stream1.freetv.fun/love-boat-1.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2015/04/20/20150420071750455994_44.jpg,2.251,未分组,h264,426x240,30.0,有音频,0.6562
[VGA]cnn portugal,https://stream1.freetv.fun/cnn-portugal-3.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2016/01/05/20160105172214347909_95.jpg,1.596,未分组,h264,1280x720,25.0,有音频,0.5469
[SD]rightnow tv (720p),https://stream1.freetv.fun/rightnow-tv-2.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/27/large/20220527020526894544_12.png,0.856,未分组,h264,1280x720,29.97002997002997,有音频,0.6562
[HD]tvs classic sports,https://stream1.freetv.fun/tvs-classic-sports-1.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2017/02/22/20170222125202753389_78.jpg,1.516,未分组,h264,1280x720,25.0,有音频,0.6094
[HD]tv9 telugu,https://stream1.freetv.fun/tv9-telugu-1.m3u8,网络源,https://epg.pw/media/images/channel/2021/11/13/large/20211113231451135104_32.png,1.509,未分组,h264,1280x720,25.0,有音频,0.5938
å®‰å¾½é»Ÿå¿è¥¿é€’ç‰ŒåŠ,https://gcalic.v.myalicdn.com/gc/yxxdpf_1/index.m3u8,网络源,,3.550,未分组,h264,1280x720,25.0,有音频,0.4219
