频道名,地址,来源,图标,检测时间,分组,视频编码,分辨率,帧率,音频,相似度
CCTV11,https://migu.188766.xyz/?migutoken=e68b36c7144edf5d3bcb34a0a6a15c2b&id=CCTV11&type=yy,网络源,,0.945,未分组,h264,1920x1080,28.0,有音频,0.6406
CCTV14,http://111.221.137.155:44330/tsfile/live/0014_1.m3u8?key=txiptv,网络源,,1.907,未分组,h264,1280x720,25.0,有音频,0.0
CCTV9,http://153.0.171.163:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0,网络源,,1.970,未分组,h264,720x576,25.0,有音频,0.4531
CCTV14,https://shyd.695847.xyz/cms001/ch00000090990000001240/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12,网络源,,2.301,未分组,h264,1920x1080,25.0,有音频,0.0
æ¹–å—å«è§†,http://183.215.134.239:19901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0,网络源,,3.077,未分组,h264,1920x1080,25.0,有音频,0.5312
CCTV11,http://112.27.235.94:8000/hls/12/index.m3u8,网络源,,3.270,未分组,h264,1920x1080,50.0,有音频,0.5156
CCTV15,http://www.freetv.top/migu/673168223.m3u8?migutoken=81268e3d4f684bb5f7e3f9be9524d419c9c649ab0f8f8d3416c7e7535e0b219459b129f4be677a98cf66de546e2d7a78ebe50703d98eb67703adee341cd46d7d39c14bfc907da3a20534d07396,网络源,,1.074,未分组,h264,1920x1080,30.0,有音频,0.0
CCTV9,http://220.170.241.204:9901/tsfile/live/0009_1.m3u8,网络源,,1.786,未分组,h264,720x576,25.0,有音频,0.0
CCTV14,http://222.169.85.8:9901/tsfile/live/0014_1.m3u8,网络源,,3.366,未分组,h264,1920x1080,25.0,有音频,0.5625
CCTV14,http://221.2.148.205:8154/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0,网络源,,2.601,未分组,h264,1920x1080,50.0,有音频,0.5469
CCTV13,https://stream1.freetv.fun/81625edf2cc9baae0d7f7cf1e070e6ba05b2acd4056442384577655089e0843c.m3u8,网络源,,6.077,未分组,h264,1920x1080,50.0,有音频,0.7031
CCTV17,http://113.15.109.216:59901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0,网络源,,1.946,未分组,h264,720x576,50.0,有音频,0.4844
CCTV11,https://migu.188766.xyz/?migutoken=630b24c3712ba9085e1a1c1b75ad7d6b&id=CCTV11&type=yy,网络源,,0.662,未分组,h264,1920x1080,28.0,有音频,0.0
æµ™æ±Ÿå«è§†,https://stream1.freetv.fun/zhe-jiang-wei-shi-68.ctv,网络源,,2.410,未分组,h264,1920x1080,25.0,有音频,0.3906
æ¹–å—å«è§†,http://222.169.85.8:9901/tsfile/live/0128_1.m3u8,网络源,,3.313,未分组,h264,1920x1080,25.0,有音频,0.6719
CCTV11,http://116.128.242.83:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0,网络源,,9.044,未分组,h264,1920x1080,25.0,有音频,0.4062
CCTV11,http://223.241.247.214:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0,网络源,,2.833,未分组,h264,720x576,25.0,有音频,0.4375
CCTV12,http://59.39.89.130:60901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0,网络源,,2.573,未分组,h264,1920x1080,50.0,有音频,0.3125
CCTV13,http://153.0.171.163:9901/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0,网络源,,1.707,未分组,h264,720x576,25.0,有音频,0.5938
CCTV13,https://migu.188766.xyz/?migutoken=79a58a571c7c6d9d94987c7d63db8f58&id=CCTV13&type=yy,网络源,,0.471,未分组,h264,1920x1080,28.0,有音频,0.0
CCTV14,http://112.27.235.94:8000/hls/15/index.m3u8,网络源,,1.616,未分组,h264,1920x1080,50.0,有音频,0.6094
CCTV12,https://epg.pw/stream/aedb71e61961cd2a5a5b9a8a83b8ae489c9408e6b420593aecb92cc36de628fe.m3u8,网络源,,8.481,未分组,h264,1920x1080,50.0,有音频,0.5469
CCTV12,http://60.174.40.117:85/tsfile/live/0012_1.m3u8?key=txiptv,网络源,,12.995,未分组,h264,1920x1080,50.0,有音频,0.4375
æ¹–å—å«è§†,https://stream1.freetv.fun/hu-nan-wei-shi-49.m3u8,网络源,,6.816,未分组,hevc,3840x2160,25.0,有音频,0.6562
æ¹–å—å«è§†,https://epg.pw/stream/66f6c4acdd342253033a30dfe3007ff934b0cd9048561539a9e6c8290d45e365.m3u8,网络源,,3.681,未分组,h264,1280x720,25.0,有音频,0.6562
CCTV13,http://www.freetv.top/migu/608807423.m3u8?migutoken=d8e7d5104925c13570533f5db2f808b4613be4d2901d3d406a67fca92ee219bc3692dff97d63d38123fde519465b77404b0a2c0c59bec5e83ad2be42019845acc7e59290159021d585352689cc,网络源,,1.105,未分组,h264,1920x1080,30.0,有音频,0.0
CCTV11,http://60.16.0.216:5757/hls/12/index.m3u8,网络源,,7.318,未分组,h264,1920x1080,50.0,有音频,0.3438
CCTV12,http://113.25.252.226:9901/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0,网络源,,6.467,未分组,h264,720x576,25.0,有音频,0.0
CCTVé£äº‘éŸ³ä¹,http://sh.lnott.top:880/dx73.m3u8,网络源,,3.081,未分组,h264,1920x1080,50.0,有音频,0.0
CCTVå¥³æ€§æ—¶å°š,http://sh.lnott.top:880/dx105.m3u8,网络源,,2.543,未分组,h264,1920x1080,50.0,有音频,0.0
CCTV14,http://218.17.33.178:53290/tsfile/live/1014_1.m3u8?key=txiptv,网络源,,1.755,未分组,h264,720x576,25.0,有音频,0.5
CETV4,https://iptv.catvod.com/live.php?id=CETV-4,网络源,,2.763,未分组,h264,1280x720,25.0,有音频,0.7656
CCTV14,http://153.0.171.163:9901/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0,网络源,,3.540,未分组,h264,720x576,25.0,有音频,0.3438
CCTV9,https://migu.188766.xyz/?migutoken=44784b7711bf6ff82adacb0b4fa52468&id=CCTV9&type=yy,网络源,,0.541,未分组,h264,1920x1080,28.0,有音频,0.3594
CCTV10,https://migu.188766.xyz/?migutoken=2cec70094b06c6472d5840824f5ab3f4&id=CCTV10&type=yy,网络源,,0.584,未分组,h264,1920x1080,28.0,有音频,0.0
CCTV11,http://113.15.109.216:59901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0,网络源,,2.211,未分组,h264,1920x1080,50.0,有音频,0.6094
CCTV14,http://112.123.243.37:50085/tsfile/live/0015_1.m3u8,网络源,,2.061,未分组,h264,1920x1080,50.0,有音频,0.0
æ¹–å—å«è§†,http://123.129.70.178:9901/tsfile/live/0128_1.m3u8,网络源,,9.368,未分组,h264,1920x1080,25.0,有音频,0.0
æ¹–å—å«è§†,https://stream1.freetv.fun/hu-nan-wei-shi-72.m3u8,网络源,,4.350,未分组,h264,1280x720,25.0,有音频,0.4844
CCTV15,http://222.169.85.8:9901/tsfile/live/0015_1.m3u8,网络源,,3.488,未分组,h264,1920x1080,25.0,有音频,0.0
æµ™æ±Ÿå«è§†,https://stream1.freetv.fun/zhe-jiang-wei-shi-7.m3u8,网络源,,4.129,未分组,h264,1280x720,25.0,有音频,0.7656
CCTV13,http://222.169.85.8:9901/tsfile/live/0013_1.m3u8,网络源,,3.457,未分组,h264,1920x1080,25.0,有音频,0.4375
CCTV17,https://stream1.freetv.fun/e70da46c7c0d4f2fff20967d48a6b0da3683e291d0b9a54b8bd22f36f2c46c4e.m3u8,网络源,,4.351,未分组,h264,1920x1080,50.0,有音频,0.4062
CCTV10,http://113.15.109.216:59901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0,网络源,,3.126,未分组,h264,720x576,50.0,有音频,0.5
CCTV15,http://111.221.137.155:44330/tsfile/live/0015_1.m3u8?key=txiptv,网络源,,4.306,未分组,h264,1280x720,25.0,有音频,0.5625
æµ™æ±Ÿå«è§†,http://123.129.70.178:9901/tsfile/live/0124_1.m3u8,网络源,,8.863,未分组,h264,1920x1080,25.0,有音频,0.3594
CCTV14,https://stream1.freetv.fun/78970ff02c50cfd535efc596098dfb95492606854b2b65164bfb76f84da88f4f.m3u8,网络源,,2.578,未分组,h264,720x576,50.0,有音频,0.5469
CCTV17,https://migu.188766.xyz/?migutoken=0c2643dc8272c5703a779c574f96f8e8&id=CCTV17&type=yy,网络源,,2.695,未分组,h264,1920x1080,25.0,有音频,0.0
æ¹–å—å«è§†,https://stream1.freetv.fun/hu-nan-wei-shi-52.m3u8,网络源,,1.498,未分组,h264,1280x720,25.0,有音频,0.0
CCTV9,https://migu.188766.xyz/?migutoken=1bd254e8c5b223653a628d4e647eabae&id=CCTV9&type=yy,网络源,,2.684,未分组,h264,1920x1080,25.0,有音频,0.0
CCTV12,http://120.238.94.10:9901/tsfile/live/1030_1.m3u8,网络源,,5.571,未分组,h264,1920x1080,50.0,有音频,0.5312
æµ™æ±Ÿå«è§†,http://116.128.242.83:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0,网络源,,8.140,未分组,h264,1920x1080,25.0,有音频,0.4844
CCTV15,https://migu.188766.xyz/?migutoken=92285932c4bb56a455755903a57bc385&id=CCTV15&type=yy,网络源,,0.480,未分组,h264,1920x1080,28.0,有音频,0.5312
CCTV14,http://116.128.242.83:9901/tsfile/live/0015_1.m3u8,网络源,,5.298,未分组,h264,1920x1080,25.0,有音频,0.6094
CCTV13,http://111.43.126.240:9003/hls/26/index.m3u8,网络源,,1.557,未分组,h264,720x576,25.0,有音频,0.4844
CCTV12,http://221.2.148.205:8154/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0,网络源,,3.446,未分组,h264,1920x1080,50.0,有音频,0.3906
CETV1,https://migu.188766.xyz/?migutoken=1b01a3526391e22b1877a2c69bacdb00&id=CETV1&type=yy,网络源,,2.700,未分组,h264,1280x720,25.0,有音频,0.0
CCTV12,http://220.170.241.204:9901/tsfile/live/0012_1.m3u8,网络源,,1.975,未分组,h264,720x576,25.0,有音频,0.0
CCTV10,http://61.156.228.12:8154/tsfile/live/0010_1.m3u8,网络源,,5.412,未分组,h264,1920x1080,50.0,有音频,0.5156
æµ™æ±Ÿå«è§†,http://111.61.236.247:9081/hls/25/index.m3u8,网络源,,10.437,未分组,h264,1920x1080,25.0,有音频,0.6406
CCTV10,http://112.132.10.54:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=0&authid=0,网络源,,3.209,未分组,h264,1920x1080,50.0,有音频,0.5625
