频道名,地址,来源,图标
CCTV1,http://[2409:8087:1e02:20::10]/000000001000PLTV/11/224/3221226163/1.m3u8,网络源,https://kakaxi-1.asia/LOGO/CCTV1.png
CCTV2,http://[2409:8087:1e02:20::10]/000000001000PLTV/11/224/3221226122/1.m3u8,网络源,https://kakaxi-1.asia/LOGO/CCTV2.png
CCTV3,http://[2409:8087:1e02:20::10]/000000001000PLTV/11/224/3221226165/1.m3u8,网络源,https://kakaxi-1.asia/LOGO/CCTV3.png
CCTV4,http://[2409:8087:1e02:20::10]/000000001000PLTV/11/224/3221226124/1.m3u8,网络源,https://kakaxi-1.asia/LOGO/CCTV4.png
CCTV5,http://[2409:8087:1e02:20::10]/000000001000PLTV/11/224/3221226146/1.m3u8,网络源,https://kakaxi-1.asia/LOGO/CCTV5.png
CCTV6,http://[2409:8087:1e02:20::10]/000000001000PLTV/11/224/3221226148/1.m3u8,网络源,https://kakaxi-1.asia/LOGO/CCTV6.png
CCTV7,http://[2409:8087:1e02:20::1a]/PLTV/11/224/3221226143/1.m3u8,网络源,https://kakaxi-1.asia/LOGO/CCTV7.png
CCTV8,http://[2409:8087:1e02:20::1a]/PLTV/11/224/3221226167/1.m3u8,网络源,https://kakaxi-1.asia/LOGO/CCTV8.png
CCTV10,http://[2409:8087:1e02:20::10]/000000001000PLTV/11/224/3221226169/1.m3u8,网络源,https://kakaxi-1.asia/LOGO/CCTV10.png
CCTV11,http://[2409:8087:1e02:20::1a]/PLTV/11/224/3221226145/1.m3u8,网络源,https://kakaxi-1.asia/LOGO/CCTV11.png
CCTV12,http://[2409:8087:1e02:20::10]/000000001000PLTV/11/224/3221226126/1.m3u8,网络源,https://kakaxi-1.asia/LOGO/CCTV12.png
CCTV13,http://[2409:8087:1e02:20::10]/000000001000PLTV/11/224/3221226128/1.m3u8,网络源,https://kakaxi-1.asia/LOGO/CCTV13.png
CCTV14,http://[2409:8087:1e02:20::10]/000000001000PLTV/11/224/3221226150/1.m3u8,网络源,https://kakaxi-1.asia/LOGO/CCTV14.png
CCTV15,http://[2409:8087:1e02:20::10]/000000001000PLTV/11/224/3221226147/1.m3u8,网络源,https://kakaxi-1.asia/LOGO/CCTV15.png
CCTV16,http://[2409:8087:1e02:20::10]/000000001000PLTV/11/224/3221226120/1.m3u8,网络源,https://kakaxi-1.asia/LOGO/CCTV16.png
湖南卫视,http://[2409:8087:1e02:20::10]/000000001000PLTV/11/224/3221225726/1.m3u8,网络源,https://kakaxi-1.asia/LOGO/湖南卫视.png
浙江卫视,http://[2409:8087:1e02:20::10]/000000001000PLTV/11/224/3221225727/1.m3u8,网络源,https://kakaxi-1.asia/LOGO/浙江卫视.png
江苏卫视,http://[2409:8087:1e02:20::10]/000000001000PLTV/11/224/3221225720/1.m3u8,网络源,https://kakaxi-1.asia/LOGO/江苏卫视.png
东方卫视,http://[2409:8087:1e02:20::1a]/PLTV/11/224/3221226106/1.m3u8,网络源,https://kakaxi-1.asia/LOGO/东方卫视.png
深圳卫视,http://[2409:8087:1e02:20::10]/000000001000PLTV/11/224/3221225728/1.m3u8,网络源,https://kakaxi-1.asia/LOGO/深圳卫视.png
北京卫视,http://[2409:8087:1e02:20::1a]/PLTV/11/224/3221225724/1.m3u8,网络源,https://kakaxi-1.asia/LOGO/北京卫视.png
广东卫视,http://[2409:8087:1e02:20::10]/000000001000PLTV/11/224/3221225731/1.m3u8,网络源,https://kakaxi-1.asia/LOGO/广东卫视.png
广西卫视,http://[2409:8087:1e02:20::1a]/PLTV/11/224/3221226130/1.m3u8,网络源,https://kakaxi-1.asia/LOGO/广西卫视.png
