频道名,地址,来源,图标,检测时间,分组,视频编码,分辨率,帧率,音频,相似度,是否假源,是否轮回,轮回相似度,轮回波动
é˜¿æ–—å½’æ¥äº†,https://www.goodiptv.club/huya/13303478,网络源,,1.352,未分组,h264,1920x1080,24.0,有音频,0.6094,False,False,0.0,0.0
æµ™æ±Ÿé’±æ±Ÿ,https://stream1.freetv.fun/zhe-jiang-qian-jiang-4.m3u8,网络源,,2.899,未分组,h264,1920x1080,25.0,有音频,0.5208,False,False,0.544,0.0736
CNAæ–°é—»,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8,网络源,,0.435,未分组,h264,1920x1080,25.0,有音频,0.5781,False,False,0.5538,0.0502
æ±Ÿå¤æ–°é—»ç»¼åˆ,https://stream1.freetv.fun/jiang-xia-xin-wen-zong-he-1.m3u8,网络源,,3.174,未分组,h264,720x576,25.0,有音频,0.6042,False,False,0.5926,0.1577
ç§‘å¹»Fansè½®æ’­,http://81.70.10.196:35455/douyu/3508304,网络源,,3.664,未分组,h264,1920x1080,30.303030303030305,有音频,0.5781,False,False,0.5299,0.0673
è§£è¯´_é˜¿æ–—è¯´ç”µå½±,http://live.nctv.top/huya.php?id=13303478,网络源,,4.165,未分组,h264,1920x1080,60.0,有音频,0.5156,False,False,0.0,0.0
å¹¿å·ç»¼åˆ,https://stream1.freetv.fun/yan-zhou-zong-he-10.m3u8,网络源,,4.195,未分组,h264,1280x720,25.0,有音频,0.5781,False,False,0.5955,0.1848
æµ™æ±Ÿæ•™è‚²,https://stream1.freetv.fun/zhe-jiang-jiao-yu-7.m3u8,网络源,,2.271,未分组,h264,640x360,25.0,有音频,0.5312,False,False,0.452,0.0585
å¨±ä¹æ‰’å”è½®æ’­,http://81.70.10.196:35455/douyu/9624581,网络源,,3.465,未分组,h264,1920x1080,25.0,有音频,0.5781,False,False,0.4987,0.1028
é‡‘é¹°å¡é€š,https://stream1.freetv.fun/jin-ying-qia-tong-27.m3u8,网络源,,1.404,未分组,h264,1280x720,25.0,有音频,0.5208,False,False,0.6024,0.2821
ç§‘å¹»è§£è¯´è½®æ’­,http://81.70.10.196:35455/douyu/9338839,网络源,,3.548,未分组,h264,1920x1080,25.0,有音频,0.5833,False,False,0.528,0.0518
æµ·å—å°‘å„¿,https://migu.188766.xyz/?migutoken=6f4147a573c175ca09dfe78dbb022b5b&id=hn_sepd&type=sz,网络源,,5.474,未分组,h264,1280x720,25.0,有音频,0.526,False,False,0.5156,0.0958
çˆ±æƒ…å…¬å¯“,http://zzy789.xyz/douyu1.php?id=6863367,网络源,,5.095,未分组,h264,1280x720,30.0,有音频,0.5833,False,False,0.5139,0.064
ç²¤è¯­ç»¼è‰ºè½®æ’­,http://81.70.10.196:35455/douyu/7919720,网络源,,3.074,未分组,h264,720x480,25.0,有音频,0.5781,False,False,0.6022,0.0324
æµ™æ±Ÿç”Ÿæ´»,https://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8?,网络源,,3.987,未分组,h264,1920x1080,25.0,有音频,0.599,False,False,0.5249,0.0242
å˜‰ä½³å¡é€š,https://stream1.freetv.fun/jia-jia-qia-tong-25.ctv,网络源,,7.444,未分组,h264,1920x1080,25.0,有音频,0.5,False,False,0.5365,0.0466
å¹¿ä¸œæ–°é—»,https://stream1.freetv.fun/yan-dong-xin-wen-1.ctv,网络源,,8.258,未分组,h264,1920x1080,25.0,有音频,0.5573,False,False,0.5424,0.0523
å¹¿å·ç«èµ›,https://stream1.freetv.fun/yan-zhou-jing-sai-16.m3u8,网络源,,4.985,未分组,h264,1280x720,25.0,有音频,0.5729,False,False,0.513,0.0504
å¡é…·å°‘å„¿,https://stream1.freetv.fun/9f120845043130d2f249edcd09bb0a6de8d10054063288989272dfa7879b9228.m3u8,网络源,,5.634,未分组,h264,720x576,25.0,有音频,0.5781,False,False,0.5313,0.0485
å¹¿å·æ–°é—»,http://tencentplay.gztv.com/live/xinwen.m3u8?txSecret=d2c2db0b598c02ec1b5623728434d367&txTime=18d57929bd3,网络源,,3.335,未分组,h264,1280x720,25.0,有音频,0.5417,False,False,0.5313,0.0239
è§£è¯´_æ–Œå“¥æ¼«è¯´,https://live.metshop.top/huya/18632116,网络源,,0.999,未分组,h264,1280x720,24.0,有音频,0.0,False,False,0.0,0.0
