Ƶ,Դ,ʱ,,Ƶ,自有源,100.0
CCTV1,ŵ,0,,CCTV1,自有源,100.0
CCTV1,ŵ,0,,CCTV1,自有源,100.0
CCTV1,ŵ,0,,CCTV1,自有源,100.0
CCTV1,鲥,0,,CCTV1,自有源,100.0
CCTV1,鲥,0,,CCTV1,自有源,100.0
CCTV1,ͨ,0,,CCTV1,自有源,100.0
CCTV1,ƶ,0,,CCTV1,自有源,100.0
CCTV1,ൺͨ,0,,CCTV1,自有源,100.0
CCTV1,Ϻƶ,0,,CCTV1,自有源,100.0
CCTV10,ŵ,0,,CCTV10,自有源,100.0
CCTV10,鲥,0,,CCTV10,自有源,100.0
CCTV10,ͨ,0,,CCTV10,自有源,100.0
CCTV10,ƶ,0,,CCTV10,自有源,100.0
CCTV10,ൺͨ,0,,CCTV10,自有源,100.0
CCTV10,Ϻƶ,0,,CCTV10,自有源,100.0
CCTV10,Ϻƶ,0,,CCTV10,自有源,100.0
CCTV11,ŵ,0,,CCTV11,自有源,100.0
CCTV11,鲥,0,,CCTV11,自有源,100.0
CCTV11,ͨ,0,,CCTV11,自有源,100.0
CCTV11,ƶ,0,,CCTV11,自有源,100.0
CCTV11,ൺͨ,0,,CCTV11,自有源,100.0
CCTV11,Ϻƶ,0,,CCTV11,自有源,100.0
CCTV11,Ϻƶ,0,,CCTV11,自有源,100.0
CCTV12,ŵ,0,,CCTV12,自有源,100.0
CCTV12,鲥,0,,CCTV12,自有源,100.0
CCTV12,ͨ,0,,CCTV12,自有源,100.0
CCTV12,ƶ,0,,CCTV12,自有源,100.0
CCTV12,ൺͨ,0,,CCTV12,自有源,100.0
CCTV12,Ϻƶ,0,,CCTV12,自有源,100.0
CCTV12,Ϻƶ,0,,CCTV12,自有源,100.0
CCTV13,ŵ,0,,CCTV13,自有源,100.0
CCTV13,鲥,0,,CCTV13,自有源,100.0
CCTV13,ͨ,0,,CCTV13,自有源,100.0
CCTV13,ƶ,0,,CCTV13,自有源,100.0
CCTV13,ൺͨ,0,,CCTV13,自有源,100.0
CCTV13,Ϻƶ,0,,CCTV13,自有源,100.0
CCTV13,ൺͨ,0,,CCTV13,自有源,100.0
CCTV14,ŵ,0,,CCTV14,自有源,100.0
CCTV14,鲥,0,,CCTV14,自有源,100.0
CCTV14,ͨ,0,,CCTV14,自有源,100.0
CCTV14,ƶ,0,,CCTV14,自有源,100.0
CCTV14,ൺͨ,0,,CCTV14,自有源,100.0
CCTV14,Ϻƶ,0,,CCTV14,自有源,100.0
CCTV14,Ϻƶ,0,,CCTV14,自有源,100.0
CCTV15,ŵ,0,,CCTV15,自有源,100.0
CCTV15,鲥,0,,CCTV15,自有源,100.0
CCTV15,ͨ,0,,CCTV15,自有源,100.0
CCTV15,ƶ,0,,CCTV15,自有源,100.0
CCTV15,ൺͨ,0,,CCTV15,自有源,100.0
CCTV15,Ϻƶ,0,,CCTV15,自有源,100.0
CCTV16,Ϻƶ,0,,CCTV16,自有源,100.0
CCTV17,ŵ,0,,CCTV17,自有源,100.0
CCTV17,鲥,0,,CCTV17,自有源,100.0
CCTV17,ͨ,0,,CCTV17,自有源,100.0
CCTV17,ƶ,0,,CCTV17,自有源,100.0
CCTV2,ŵ,0,,CCTV2,自有源,100.0
CCTV2,鲥,0,,CCTV2,自有源,100.0
CCTV2,ͨ,0,,CCTV2,自有源,100.0
CCTV2,ƶ,0,,CCTV2,自有源,100.0
CCTV2,ൺͨ,0,,CCTV2,自有源,100.0
CCTV2,Ϻƶ,0,,CCTV2,自有源,100.0
CCTV3,ŵ,0,,CCTV3,自有源,100.0
CCTV3,ŵ,0,,CCTV3,自有源,100.0
CCTV3,鲥,0,,CCTV3,自有源,100.0
CCTV3,ͨ,0,,CCTV3,自有源,100.0
CCTV3,ͨ,0,,CCTV3,自有源,100.0
CCTV3,ƶ,0,,CCTV3,自有源,100.0
CCTV3,ൺͨ,0,,CCTV3,自有源,100.0
CCTV3,Ϻƶ,0,,CCTV3,自有源,100.0
CCTV4,ŵ,0,,CCTV4,自有源,100.0
CCTV4,鲥,0,,CCTV4,自有源,100.0
